# x y z horizontalRadius verticalRadius
-226.648 -164.278 0 4.58716 6.88074
-83.089 -159.388 0.236993 1.07084 1.60626
-219.154 -159.361 0 1.09729 1.64593
-203.577 -159.352 0.31953 0.972641 1.45896
-198.433 -158.761 1.14003 3.05706 4.5856
-1.8728 -158.554 0 4.3167 6.47505
-16.8474 -157.173 0.475782 4.19888 6.29831
-62.3765 -156.481 0 1.9379 2.90685
259.176 -152.84 0 4.33988 6.50982
-166.079 -152.882 0 5.0227 7.53405
-126.348 -153.259 0.0447707 5.55137 8.32705
-170.894 -194.075 0 1.3439 2.01584
-155.367 -188.661 0 1.07084 1.60626
-172.292 -188.605 0.151055 2.14169 3.21253
-165.282 -188.102 0 1.65028 2.47542
243.202 -191.214 2.09777 2.51135 3.76702
304.508 -190.584 0.577274 3.5717 5.35755
-41.554 -190.563 0.267204 1.12311 1.68466
-52.3915 -189.586 0.449602 0.829471 1.24421
232.734 -189.042 1.08643 2.43602 3.65403
-73.2832 -188.955 0.111436 1.23263 1.84895
323.653 -186.879 0.581793 4.0565 6.08475
-160.633 -195.24 0 4.84253 7.26379
6.3533 -195.494 0 4.33327 6.49991
-64.3843 -194.097 0.59632 4.61209 6.91813
71.1573 -194.364 1.28515 4.11961 6.17942
-5.4 -194.392 0 2.53973 3.80959
-32.5525 -193.209 0.413721 1.7016 2.55239
103.229 -192.356 0 3.978 5.967
251.903 -193.687 1.20911 3.23919 4.85878
292.307 -185.113 0.578568 5.72174 8.58261
257.648 -185.263 2.17698 4.04588 6.06883
-168.81 -184.901 0.483938 2.03178 3.04767
-151.571 -185.654 0 3.15399 4.73099
126.706 -183.019 0 3.16307 4.7446
273.084 -183.202 0 1.20915 1.81373
-224.54 -182.834 0.815765 0.972642 1.45896
-176.736 -182.266 1.14555 2.76145 4.14217
0.8328 -182.435 0 1.2783 1.91745
30.006 -181.778 0.904629 3.21253 4.81879
267.899 -180.462 0.701169 3.67846 5.51769
-47.1535 -179.802 0 5.40484 8.10726
-233.666 -178.092 0 5.79394 8.69091
-114.19 -175.208 0.341874 5.37025 8.05538
262.057 -124.625 0.942735 1.57016 2.35524
-154.489 -122.647 0 3.8461 5.76915
-171.641 -120.699 0.806184 3.27877 4.91816
37.0925 -123.061 0.805057 2.86838 4.30257
253.65 -121.489 0.34335 1.57016 2.35524
5.1632 -118.994 0.642176 1.3859 2.07885
227.378 -118.722 0.998735 4.59652 6.89478
292.555 -120.179 0 4.76194 7.1429
352.443 -118.585 0.237394 3.15853 4.73779
-32.4052 -118.902 0.914372 2.69844 4.04766
