# x y z radius
-226.0675999999512 -231.17900000000373 2.106438267 0.794158178
-68.32900000002701 -230.7730000000447 0.243288804 0.478895377
116.69720000005327 -231.74700000043958 1.690399611 2.633923128
41.59959999995772 -224.64500000001863 1.172847778 1.267037566
-42.10880000004545 -224.14500000001863 0.559235858 2.045841703
217.24910000001546 -230.68400000035763 0.0 3.31788223
-131.76699999999255 -228.6870000003837 0.163185192 1.523835428
-91.59799999999814 -228.98400000017136 0.992338255 5.375586178
-44.68350000004284 -228.65400000009686 0.0 1.945281789
-4.48699999996461 -227.11700000008568 1.541796241 3.256839602
37.97019999998156 -226.77000000001863 1.366391764 2.175238504
-125.52339999994729 -225.2430000002496 2.835122898 2.520893753
1.4346000000368804 -225.97700000042096 0.0 1.123108665
51.93989999999758 -224.45600000023842 0.438122911 4.336580231
-137.73930000001565 -220.73600000003353 0.358392801 1.561007717
-121.2145999999484 -223.26500000013039 3.099907822 2.388483076
88.3464999999851 -223.09700000006706 1.224112113 4.091681774
25.990300000063144 -221.75200000032783 2.216787994 1.870145549
42.22459999995772 -222.2320000003092 0.0 0.775899042
39.583500000066124 -220.76500000013039 0.0 1.436685481
321.2514000000665 -220.68900000024587 0.428884103 1.862463999
320.95369999995455 -239.01000000024214 0.380040403 2.017620538
-144.05039999994915 -243.17900000000373 0.184138663 5.073805028
-62.54689999995753 -244.41700000036508 0.198816416 4.918886195
-119.69799999997485 -244.0160000002943 0.0 6.221032416
-132.57620000001043 -240.80300000030547 1.452699512 3.647157917
128.08539999998175 -241.89300000015646 0.76749776 4.126564495
261.0241999999853 -240.72300000023097 0.311166766 5.324679379
-205.10080000001471 -236.57500000018626 0.611970919 2.517049651
6.067200000048615 -236.75900000007823 0.65258449 3.369326438
-174.97120000002906 -236.24900000030175 0.369697276 2.771807296
-20.862800000002608 -236.06800000043586 0.606518035 1.561007447
-105.15009999996983 -235.0730000003241 2.217130402 4.181773367
-16.898999999975786 -235.58100000023842 0.607303979 1.311508582
-51.8125 -233.8300000000745 0.0 5.101976613
-71.79570000001695 -234.08600000012666 0.162790376 1.015890362
-68.65469999995548 -233.92000000039116 0.0 1.44662849
28.2208999999566 -233.27400000020862 0.591190209 3.857262206
11.096000000019558 -205.43400000035763 0.549567879 0.561554253
14.863600000040606 -205.06400000024587 1.334075147 0.98726777
-106.80400000000373 -194.8110000002198 1.012780228 0.414735437
201.86600000003818 -199.38400000007823 0.0 3.122013679
-195.66669999994338 -201.67200000025332 0.217150921 2.893257353
-57.44940000004135 -203.29500000039116 0.279440061 2.370410648
-52.419099999940954 -202.23500000033528 0.903636166 1.232632305
-30.0916000000434 -202.20800000010058 0.242617737 1.597314651
-97.03449999995064 -201.52900000009686 1.047013789 4.098683515
-188.23970000003465 -194.47500000009313 0.0 1.097287143
-144.74580000003334 -196.47200000006706 0.079936235 1.255674172
-141.32010000001173 -196.02200000034645 0.589797334 1.267038168
-108.57730000000447 -196.52100000018254 0.148050422 1.135799845
91.14009999996051 -199.05600000033155 0.51081599 5.289569692
-106.00899999996182 -198.03600000031292 1.555769519 0.75720007
-51.65729999996256 -197.8530000001192 0.94740693 2.20109533
-15.685100000002421 -196.8070000000298 0.017728398 1.783844556
-87.74040000000969 -196.2160000000149 0.0 0.56155444
14.30890000006184 -181.35500000044703 0.0 0.942706226
6.507800000021234 -181.01100000040606 0.0 0.987267807
-179.74690000002738 -178.5610000002198 0.73948719 0.775899119
141.44599999999627 -178.46100000012666 0.58080286 0.414735216
287.1293000000296 -167.7280000001192 0.0 0.507944984
-205.5167000000365 -166.31700000027195 0.701487869 1.426674139
-9.822900000028312 -166.15400000009686 0.272899835 1.870145622
-82.72750000003725 -178.67000000039116 0.0 2.418302637
-220.09869999997318 -178.88500000024214 1.609163534 3.747949374
-14.882800000021234 -177.73400000017136 0.860494892 4.212508861
206.92790000000969 -176.98700000019744 0.0 3.407398016
-138.36019999999553 -176.54800000041723 0.104347366 0.677260261
-93.73600000003353 -176.26500000013039 0.550316423 0.846575209
-167.0215999999782 -176.20200000004843 0.0 3.627454346
231.91680000000633 -176.14900000020862 0.725866968 4.219307122
348.07990000001155 -174.68900000024587 0.0 4.29673119
-197.54839999997057 -173.9370000003837 0.930620931 2.315348994
-191.7262000000337 -171.93800000008196 0.0 3.786000345
-184.62729999993462 -172.32800000021234 1.896917094 1.606263558
251.10999999998603 -173.17400000011548 2.927378895 3.587719524
269.7190999999875 -173.14900000020862 1.419225472 1.365060675
-177.10759999998845 -172.24500000011176 0.0 3.587722159
-31.09230000001844 -171.84700000006706 0.0 3.639288633
-6.575899999937974 -171.8420000001788 0.10287383 0.957790346
47.272899999981746 -171.61300000036135 0.954984708 4.060031433
135.02500000002328 -171.6980000003241 0.0 4.256512737
-164.15610000002198 -170.6970000001602 2.26480763 3.014569233
356.9910999999847 -169.18100000033155 1.294003857 2.296699361
226.80630000005476 -170.20600000023842 0.0 0.911788961
24.193199999979697 -169.7839999999851 0.0 5.418080559
-149.69469999999274 -169.36300000036135 3.275313821 2.719602607
-201.81019999994896 -168.38800000026822 0.851350089 1.354520659
-18.273999999975786 -168.03200000012293 1.523255483 2.833182296
155.63309999997728 -167.8300000000745 0.851998315 3.071095696
-180.19700000004377 -166.97600000025705 1.852579681 3.066426236
232.52859999996144 -152.87000000011176 0.0 1.148349828
-40.056199999991804 -152.44200000027195 0.024486969 1.38590323
253.94599999999627 -146.16100000031292 0.0 0.414735262
-174.89399999997113 -151.08100000023842 0.165050816 1.606263805
-37.23519999999553 -151.22300000023097 0.0 1.173048937
-146.25459999998566 -150.88200000021607 0.202482116 2.617547697
166.00679999997374 -150.55200000014156 0.0 1.930487771
142.1424999999581 -149.4360000002198 2.841568288 5.351532069
153.15789999999106 -149.2160000000149 0.341624144 3.243608292
268.8384000000078 -148.78600000031292 0.795484388 5.535847951
83.54310000000987 -149.26699999999255 0.075222129 2.745827957
126.19819999998435 -149.02100000018254 0.346000367 4.612085719
241.66870000003837 -147.75600000005215 0.0 1.375521282
-206.79509999998845 -145.87400000030175 1.028908989 2.714327345
-150.61369999998715 -146.14900000020862 0.215683227 3.398976322
13.54590000002645 -147.38100000005215 0.0 5.462869865
204.83929999999236 -147.92700000014156 0.185840961 3.894244044
326.28289999999106 -147.0050000003539 2.009475924 3.274394967
33.95409999997355 -146.6710000000894 0.605763856 3.709506083
257.0718000000343 -146.25900000007823 0.0 1.333187256
360.06319999997504 -146.38300000037998 0.0 4.031686671
338.4636000000173 -145.33100000023842 0.131504624 2.47107015
303.4002999999793 -144.54400000022724 0.0 5.612988129
-176.84290000004694 -144.55500000016764 0.439169994 1.759574003
55.561699999962 -144.62300000013784 0.0 3.005043123
240.37569999997504 -144.11300000036135 0.0 1.504904349
-173.65260000003036 -141.77500000037253 0.49066018 1.734963178
-180.5439999999944 -140.54100000020117 0.400432542 0.378600356
-168.62489999993704 -141.05900000035763 0.191177676 1.110273275
335.1800000000512 -141.24900000030175 0.544495401 1.892998373
-36.76899999997113 -140.56700000027195 0.474860795 2.003362487
-202.62899999995716 -161.8980000000447 0.517533914 0.829471135
245.06140000000596 -165.76900000032037 0.402069206 3.112817492
353.04469999996945 -165.12000000011176 0.0 1.831421004
36.134199999971315 -164.50200000032783 0.532613277 3.309231771
-13.359599999967031 -164.5500000002794 0.247050197 0.879786792
229.22120000002906 -164.20700000040233 0.0 2.922829273
272.07770000002347 -163.88300000037998 1.637416504 3.751768584
-189.17929999995977 -160.86500000022352 0.589745802 3.0288001
-154.28280000004452 -161.65600000042468 0.19453997 3.432547189
-74.28090000001248 -166.9700000002049 0.0 6.344232693
-226.64789999998175 -164.2780000003986 0.0 4.587157959
-83.08900000003632 -159.38800000026822 0.236992707 1.07084249
-219.15399999998044 -159.36100000003353 0.0 1.097287479
-203.57669999997597 -159.35200000042096 0.319529973 0.972640928
-198.43279999995138 -158.76100000040606 1.140028257 3.057063343
-1.872800000011921 -158.55400000000373 0.0 4.3167031
-16.84739999996964 -157.17300000041723 0.4757818 4.198876192
-62.37650000001304 -156.4810000001453 0.0 1.937899246
259.1755000000121 -152.84000000031665 0.0 4.339882776
-166.07889999996405 -152.88200000021607 0.0 5.022696679
-126.34779999998864 -153.25900000007823 0.044770724 5.551365502
-170.89449999993667 -194.07500000018626 0.0 1.343896632
-155.36650000000373 -188.66100000031292 0.0 1.070842551
-172.29209999996237 -188.60500000044703 0.151055011 2.141685144
-165.28189999994356 -188.10200000042096 0.0 1.650279224
243.20189999998547 -191.21400000015274 2.097767405 2.511346722
304.5075000000652 -190.5840000002645 0.577273808 3.571702585
-41.554000000003725 -190.56300000008196 0.267203548 1.123108821
-52.39150000002701 -189.58600000012666 0.449601803 0.829470799
232.7336999999825 -189.04200000036508 1.08642767 2.436018064
-73.2831999999471 -188.9550000000745 0.111435736 1.232632179
323.6530999999959 -186.87900000019 0.581792633 4.056497606
-160.63349999999627 -195.24000000022352 0.0 4.842529347
6.3532999999588355 -195.4940000004135 0.0 4.33327393
-64.38430000003427 -194.09700000006706 0.596320136 4.612086888
71.15729999996256 -194.3640000000596 1.285150285 4.119611912
-5.400000000023283 -194.39199999999255 0.0 2.539725446
-32.55249999999069 -193.2090000002645 0.413721343 1.701595029
103.22920000005979 -192.3560000001453 0.0 3.97800164
251.90340000006836 -193.6870000003837 1.209109253 3.239185767
292.3074000000488 -185.11300000036135 0.578568484 5.72174284
257.64769999997225 -185.26300000026822 2.176983017 4.045883408
-168.81019999994896 -184.90100000007078 0.483938374 2.031780934
-151.57140000001527 -185.65400000009686 0.0 3.153990304
126.70600000000559 -183.01900000032037 0.0 3.163065134
273.08420000004116 -183.20200000004843 0.0 1.209150552
-224.54039999993984 -182.8340000002645 0.815764994 0.97264184
-176.73560000001453 -182.2660000002943 1.14555056 2.761445142
0.832799999974668 -182.43500000005588 0.0 1.278300544
30.006000000052154 -181.7780000003986 0.904629127 3.212526796
267.8991999999853 -180.46200000029057 0.701169248 3.67846228
-47.1535000000149 -179.80200000014156 0.0 5.404837271
-233.6663000000408 -178.0920000001788 0.0 5.793941501
-114.19010000000708 -175.20800000010058 0.34187399 5.370250856
262.05650000006426 -124.625 0.942734676 1.570162283
-154.48889999999665 -122.64700000034645 0.0 3.846098946
-171.64079999993555 -120.69900000002235 0.806183983 3.278772315
37.09250000002794 -123.06100000021979 0.805057103 2.868378281
253.64950000005774 -121.4890000000596 0.343350305 1.570162213
5.163200000068173 -118.99400000041351 0.642175542 1.385903192
227.37809999997262 -118.72200000006706 0.998735092 4.596519213
292.5552000000607 -120.17900000000373 0.0 4.761935872
352.4426000000676 -118.58500000042841 0.237394004 3.158529019
-32.40520000003744 -118.9020000002347 0.914372106 2.698437624
-217.61309999995865 -116.36100000003353 0.137604567 0.561554535
-91.9775999999838 -117.80200000014156 1.155201868 3.670662924
61.40419999998994 -114.97700000042096 0.256160442 1.561007177
253.83600000001024 -96.9210000000894 0.468019667 0.655753272
118.87490000005346 -90.37200000043958 0.497091602 1.650278425
-199.2667000000365 -95.4660000000149 0.06003779 2.252590681
116.57850000006147 -94.16600000020117 0.108859419 2.358285006
-136.49360000004526 -90.40100000007078 1.672829845 3.527284233
206.5688000000082 -89.59900000039488 0.0 3.042962479
243.51110000000335 -88.48100000014529 0.0 4.511536932
-129.3057999999728 -86.68100000033155 0.0 3.812409767
-96.0230000000447 -87.07000000029802 1.462191156 4.205698648
-108.62890000001062 -86.83900000015274 0.518022621 3.112819452
191.99840000004042 -85.32200000016019 0.252777606 3.283139158
-80.52960000000894 -85.6140000000596 0.884351047 1.923049413
14.396000000066124 -105.26100000040606 0.475289031 0.169314698
235.77460000000428 -111.66300000017509 0.098359263 1.267037101
-226.05920000001788 -109.49200000008568 0.276611455 3.736458199
47.82510000001639 -110.61000000033528 0.649278847 2.567789435
90.67099999997299 -107.94200000027195 0.443817259 0.957790374
38.73109999997541 -106.80200000014156 0.473442886 4.343185938
-75.9030999999959 -107.53600000031292 0.416738058 4.489244072
-52.50399999995716 -107.21100000012666 1.274840327 0.239447622
-163.8469000000041 -106.20400000037625 0.0 1.001681473
257.84519999998156 -105.9320000000298 0.0 3.203589215
15.146000000066124 -105.86100000003353 0.169556826 0.239447385
-117.10069999995176 -105.49100000038743 0.0 4.927620958
14.695999999996275 -105.56100000021979 0.330990201 0.169314974
-133.811699999962 -115.62700000032783 0.0 5.39421942
119.42249999998603 -115.47000000020489 0.863193614 4.07060844
-210.08660000003874 -113.27400000020862 0.666722407 3.897926066
-170.3303999999771 -111.8000000002794 0.023771909 3.453363336
68.55449999996927 -114.9710000003688 0.626559673 4.154260223
242.6983000000473 -114.83799999998882 0.0 6.364531012
147.3055999999633 -113.51500000013039 0.0 3.131182995
-184.84380000003148 -110.47800000011921 0.851622486 3.478178477
-44.132199999992736 -106.53300000028685 0.0 6.825307489
-159.97459999995772 -102.84300000034273 0.0 0.987267971
78.51049999997485 -102.56400000024587 0.676090841 3.670661821
-168.8475000000326 -102.01000000024214 0.479769802 1.561007876
247.09239999996498 -102.19400000013411 0.0 4.369506936
340.6946000000462 -101.59400000004098 0.152928751 3.176629751
-185.99600000004284 -100.20600000023842 1.73687322 3.117420975
-103.38569999998435 -100.55200000014156 0.624709318 3.190140138
232.25380000006407 -100.2550000003539 2.33254692 3.75940221
63.4997999999905 -99.96900000004098 0.0 1.232631916
213.00399999995716 -99.0910000000149 0.575415991 3.747946258
9.188500000047497 -98.49800000013784 0.988524116 5.706694921
239.10010000003967 -96.74700000043958 1.529849496 1.456502393
-66.20440000004601 -51.02900000009686 3.798091674 2.660994818
179.69599999999627 -50.06100000021979 0.634884312 0.169314907
178.13410000002477 -66.02600000007078 0.183265258 2.687791814
-115.3192000000272 -65.84800000023097 1.800108785 3.76702215
-105.01639999996405 -65.3980000000447 0.0 3.225884987
146.60430000000633 -63.81100000021979 3.055935449 1.015890002
-178.42989999998827 -62.192000000271946 0.379801608 2.155029121
143.90000000002328 -62.661000000312924 2.794657419 0.846574729
-4.606499999994412 -61.75900000007823 0.0 5.909070231
-227.02610000001732 -60.20200000004843 0.361902176 4.568370686
-126.71750000002794 -60.46200000029057 1.25144059 3.883188569
146.61959999997634 -60.6589999999851 0.516932975 0.564383291
-157.49109999998473 -60.77700000023469 2.305532214 2.003363034
-157.61509999993723 -57.57700000004843 0.0 0.564383513
20.665200000046752 -57.59800000023097 1.64526061 2.797543482
333.49580000003334 -57.903000000398606 0.475911025 3.864685238
48.676800000015646 -58.03000000026077 0.0 3.956323425
